method,query_id,doc_id,latency_ms
laya-score,PLAIN-23,MED-4256,868.52
laya-score,PLAIN-23,MED-2644,818.53
laya-score,PLAIN-23,MED-3498,904.69
laya-score,PLAIN-23,MED-4168,819.26
laya-score,PLAIN-23,MED-3880,767.26
laya-score,PLAIN-23,MED-118,826.48
laya-score,PLAIN-23,MED-2651,847.76
laya-score,PLAIN-33,MED-2221,748.61
laya-score,PLAIN-33,MED-1344,745.44
laya-score,PLAIN-33,MED-4876,802.11
laya-score,PLAIN-33,MED-2715,738.66
laya-score,PLAIN-33,MED-4366,771.38
laya-score,PLAIN-33,MED-3635,765.67
laya-score,PLAIN-33,MED-1878,755.43
laya-score,PLAIN-33,MED-3748,764.76
laya-score,PLAIN-33,MED-5093,822.56
laya-score,PLAIN-33,MED-944,694.94
laya-score,PLAIN-33,MED-1056,795.86
laya-score,PLAIN-33,MED-748,681.74
laya-score,PLAIN-33,MED-1366,677.2
laya-score,PLAIN-33,MED-2763,582.51
laya-score,PLAIN-33,MED-1497,718.06
laya-score,PLAIN-33,MED-1994,767.39
laya-score,PLAIN-33,MED-1674,830.01
laya-score,PLAIN-33,MED-4744,810.03
laya-score,PLAIN-33,MED-900,793.26
laya-score,PLAIN-33,MED-4794,862.44
laya-score,PLAIN-44,MED-2786,741.87
laya-score,PLAIN-44,MED-2782,816.58
laya-score,PLAIN-44,MED-1942,744.9
laya-score,PLAIN-44,MED-2783,802.48
laya-score,PLAIN-44,MED-2819,822.3
laya-score,PLAIN-44,MED-1811,763.53
laya-score,PLAIN-44,MED-2821,705.43
laya-score,PLAIN-44,MED-1032,765.62
laya-score,PLAIN-44,MED-2313,822.23
laya-score,PLAIN-44,MED-2602,732.33
laya-score,PLAIN-44,MED-2791,750.39
laya-score,PLAIN-44,MED-2785,763.54
laya-score,PLAIN-44,MED-2601,830.8
laya-score,PLAIN-44,MED-2599,731.3
laya-score,PLAIN-44,MED-2801,726.45
laya-score,PLAIN-44,MED-2742,722.29
laya-score,PLAIN-44,MED-2823,707.28
laya-score,PLAIN-44,MED-2605,743.8
laya-score,PLAIN-44,MED-1948,740.67
laya-score,PLAIN-44,MED-2810,815.25
laya-score,PLAIN-56,MED-2901,757.16
laya-score,PLAIN-56,MED-2896,761.51
laya-score,PLAIN-56,MED-2900,713.82
laya-score,PLAIN-56,MED-5247,886.18
laya-score,PLAIN-56,MED-5246,734.1
laya-score,PLAIN-56,MED-4384,773.43
laya-score,PLAIN-56,MED-2894,793.52
laya-score,PLAIN-56,MED-3356,810.99
laya-score,PLAIN-56,MED-3770,821.59
laya-score,PLAIN-56,MED-1178,765.43
laya-score,PLAIN-56,MED-3786,761.91
laya-score,PLAIN-56,MED-3397,748.64
laya-score,PLAIN-56,MED-3769,739.88
laya-score,PLAIN-56,MED-2263,761.93
laya-score,PLAIN-56,MED-2418,811.52
laya-score,PLAIN-56,MED-2181,793.69
laya-score,PLAIN-56,MED-1173,656.37
laya-score,PLAIN-56,MED-3699,723.11
laya-score,PLAIN-56,MED-3092,675.0
laya-score,PLAIN-56,MED-2951,714.08
laya-score,PLAIN-68,MED-2991,659.12
laya-score,PLAIN-68,MED-5345,755.86
laya-score,PLAIN-68,MED-4800,810.43
laya-score,PLAIN-68,MED-1960,1051.29
laya-score,PLAIN-68,MED-2492,763.78
laya-score,PLAIN-68,MED-3095,734.56
laya-score,PLAIN-68,MED-1138,791.83
laya-score,PLAIN-68,MED-2339,747.66
laya-score,PLAIN-68,MED-4539,764.97
laya-score,PLAIN-68,MED-4626,751.12
laya-score,PLAIN-68,MED-4429,733.11
laya-score,PLAIN-68,MED-4742,745.9
laya-score,PLAIN-68,MED-4978,908.04
laya-score,PLAIN-68,MED-4427,589.62
laya-score,PLAIN-68,MED-2736,766.51
laya-score,PLAIN-68,MED-3651,655.41
laya-score,PLAIN-68,MED-2745,817.37
laya-score,PLAIN-68,MED-2168,1063.18
laya-score,PLAIN-68,MED-716,791.42
laya-score,PLAIN-68,MED-4640,789.67
laya-score,PLAIN-78,MED-4318,897.14
laya-score,PLAIN-78,MED-2219,829.54
laya-score,PLAIN-78,MED-1540,715.68
laya-score,PLAIN-78,MED-1366,672.86
laya-score,PLAIN-78,MED-4087,741.77
laya-score,PLAIN-78,MED-1817,768.06
laya-score,PLAIN-78,MED-3832,778.67
laya-score,PLAIN-78,MED-1674,813.5
laya-score,PLAIN-78,MED-2940,728.19
laya-score,PLAIN-78,MED-1488,678.57
laya-score,PLAIN-78,MED-2928,594.95
laya-score,PLAIN-78,MED-4834,809.46
laya-score,PLAIN-78,MED-1040,758.99
laya-score,PLAIN-78,MED-3585,614.69
laya-score,PLAIN-78,MED-4429,758.54
laya-score,PLAIN-78,MED-2726,795.26
laya-score,PLAIN-78,MED-4337,712.54
laya-score,PLAIN-78,MED-5110,782.62
laya-score,PLAIN-78,MED-3756,663.37
laya-score,PLAIN-78,MED-4794,840.45
laya-score,PLAIN-91,MED-3171,649.42
laya-score,PLAIN-91,MED-3515,565.9
laya-score,PLAIN-91,MED-3288,811.98
laya-score,PLAIN-91,MED-4963,889.2
laya-score,PLAIN-91,MED-2341,940.97
laya-score,PLAIN-91,MED-4818,672.78
laya-score,PLAIN-91,MED-1979,785.15
laya-score,PLAIN-91,MED-1983,758.19
laya-score,PLAIN-91,MED-2352,899.1
laya-score,PLAIN-91,MED-1610,852.04
laya-score,PLAIN-91,MED-4746,893.59
laya-score,PLAIN-91,MED-4593,866.75
laya-score,PLAIN-91,MED-3891,922.32
laya-score,PLAIN-91,MED-2340,790.19
laya-score,PLAIN-91,MED-4814,841.09
laya-score,PLAIN-91,MED-4803,676.57
laya-score,PLAIN-91,MED-2678,962.1
laya-score,PLAIN-91,MED-4357,823.5
laya-score,PLAIN-91,MED-3178,787.07
laya-score,PLAIN-91,MED-4808,825.3
laya-score,PLAIN-102,MED-3954,816.27
laya-score,PLAIN-102,MED-4247,881.98
laya-score,PLAIN-102,MED-4616,872.77
laya-score,PLAIN-102,MED-1999,737.78
laya-score,PLAIN-102,MED-3253,764.04
laya-score,PLAIN-102,MED-4160,822.32
laya-score,PLAIN-102,MED-5251,512.45
laya-score,PLAIN-102,MED-4315,706.42
laya-score,PLAIN-102,MED-1932,751.38
laya-score,PLAIN-102,MED-5141,778.9
laya-score,PLAIN-102,MED-4783,866.8
laya-score,PLAIN-102,MED-5194,835.59
laya-score,PLAIN-102,MED-1722,811.84
laya-score,PLAIN-102,MED-1991,802.04
laya-score,PLAIN-102,MED-4496,788.0
laya-score,PLAIN-102,MED-5293,770.72
laya-score,PLAIN-102,MED-4578,847.26
laya-score,PLAIN-102,MED-1366,751.03
laya-score,PLAIN-102,MED-4680,907.38
laya-score,PLAIN-102,MED-1834,796.26
laya-score,PLAIN-112,MED-3380,758.35
laya-score,PLAIN-112,MED-2618,858.87
laya-score,PLAIN-112,MED-2616,922.53
laya-score,PLAIN-112,MED-3382,817.18
laya-score,PLAIN-112,MED-3383,731.01
laya-score,PLAIN-112,MED-4604,901.2
laya-score,PLAIN-112,MED-4655,971.66
laya-score,PLAIN-112,MED-1153,837.16
laya-score,PLAIN-112,MED-2643,809.34
laya-score,PLAIN-112,MED-2992,1024.57
laya-score,PLAIN-112,MED-855,769.68
laya-score,PLAIN-112,MED-2738,811.31
laya-score,PLAIN-112,MED-2063,802.11
laya-score,PLAIN-112,MED-2308,807.13
laya-score,PLAIN-112,MED-3770,813.54
laya-score,PLAIN-112,MED-4796,810.12
laya-score,PLAIN-112,MED-2742,790.07
laya-score,PLAIN-112,MED-3497,831.05
laya-score,PLAIN-112,MED-4186,939.9
laya-score,PLAIN-112,MED-5059,861.75
laya-score,PLAIN-123,MED-4256,887.5
laya-score,PLAIN-123,MED-4969,848.77
laya-score,PLAIN-123,MED-4392,778.93
laya-score,PLAIN-123,MED-4804,946.03
laya-score,PLAIN-123,MED-4429,796.52
laya-score,PLAIN-123,MED-1020,782.65
laya-score,PLAIN-123,MED-3483,766.63
laya-score,PLAIN-123,MED-4922,630.55
laya-score,PLAIN-123,MED-2501,613.66
laya-score,PLAIN-123,MED-1982,478.86
laya-score,PLAIN-123,MED-3436,793.82
laya-score,PLAIN-123,MED-2742,821.27
laya-score,PLAIN-123,MED-3319,850.4
laya-score,PLAIN-123,MED-1705,768.8
laya-score,PLAIN-123,MED-4769,689.24
laya-score,PLAIN-123,MED-1347,759.06
laya-score,PLAIN-123,MED-2718,738.35
laya-score,PLAIN-123,MED-2182,781.67
laya-score,PLAIN-123,MED-5319,883.13
laya-score,PLAIN-123,MED-2083,773.93
laya-score,PLAIN-133,MED-1666,831.03
laya-score,PLAIN-133,MED-2923,747.48
laya-score,PLAIN-133,MED-1665,828.53
laya-score,PLAIN-133,MED-2751,801.64
laya-score,PLAIN-133,MED-4423,844.29
laya-score,PLAIN-133,MED-3277,852.37
laya-score,PLAIN-133,MED-2066,844.55
laya-score,PLAIN-133,MED-2426,779.35
laya-score,PLAIN-133,MED-5053,959.17
laya-score,PLAIN-133,MED-2993,853.01
laya-score,PLAIN-133,MED-2010,834.75
laya-score,PLAIN-133,MED-1170,765.69
laya-score,PLAIN-133,MED-2357,830.34
laya-score,PLAIN-133,MED-2216,731.09
laya-score,PLAIN-133,MED-4464,499.52
laya-score,PLAIN-133,MED-2129,626.36
laya-score,PLAIN-133,MED-1659,816.12
laya-score,PLAIN-133,MED-2251,811.96
laya-score,PLAIN-133,MED-3696,888.76
laya-score,PLAIN-133,MED-4116,865.69
laya-score,PLAIN-143,MED-3621,854.3
laya-score,PLAIN-143,MED-2093,841.75
laya-score,PLAIN-143,MED-4027,834.7
laya-score,PLAIN-143,MED-4028,740.37
laya-score,PLAIN-143,MED-4036,767.62
laya-score,PLAIN-143,MED-3618,766.96
laya-score,PLAIN-143,MED-5097,743.74
laya-score,PLAIN-143,MED-4026,770.68
laya-score,PLAIN-143,MED-4019,841.11
laya-score,PLAIN-143,MED-1858,760.22
laya-score,PLAIN-143,MED-872,836.18
laya-score,PLAIN-143,MED-3639,834.1
laya-score,PLAIN-143,MED-3686,887.96
laya-score,PLAIN-143,MED-1988,805.37
laya-score,PLAIN-143,MED-3640,777.1
laya-score,PLAIN-143,MED-1857,802.85
laya-score,PLAIN-143,MED-3619,743.14
laya-score,PLAIN-143,MED-3850,841.45
laya-score,PLAIN-143,MED-2707,810.23
laya-score,PLAIN-143,MED-4034,827.87
laya-score,PLAIN-153,MED-3677,740.38
laya-score,PLAIN-153,MED-2105,825.43
laya-score,PLAIN-153,MED-1248,709.46
laya-score,PLAIN-153,MED-3695,872.37
laya-score,PLAIN-153,MED-3692,739.98
laya-score,PLAIN-153,MED-1716,807.72
laya-score,PLAIN-153,MED-3680,819.86
laya-score,PLAIN-153,MED-3673,739.18
laya-score,PLAIN-153,MED-3164,659.2
laya-score,PLAIN-153,MED-3691,833.52
laya-score,PLAIN-153,MED-3690,828.33
laya-score,PLAIN-153,MED-4772,881.11
laya-score,PLAIN-153,MED-3800,825.58
laya-score,PLAIN-153,MED-4266,805.84
laya-score,PLAIN-153,MED-1588,774.16
laya-score,PLAIN-153,MED-2718,746.75
laya-score,PLAIN-153,MED-4612,807.71
laya-score,PLAIN-153,MED-2292,796.45
laya-score,PLAIN-153,MED-1490,795.01
laya-score,PLAIN-153,MED-3679,908.46
laya-score,PLAIN-165,MED-4445,895.87
laya-score,PLAIN-165,MED-3766,823.74
laya-score,PLAIN-165,MED-3767,971.4
laya-score,PLAIN-165,MED-4465,859.18
laya-score,PLAIN-165,MED-5087,896.27
laya-score,PLAIN-165,MED-2604,921.63
laya-score,PLAIN-165,MED-1564,856.95
laya-score,PLAIN-165,MED-2824,848.55
laya-score,PLAIN-165,MED-3768,807.6
laya-score,PLAIN-165,MED-2437,705.68
laya-score,PLAIN-165,MED-3762,784.35
laya-score,PLAIN-165,MED-3696,873.65
laya-score,PLAIN-165,MED-4096,768.11
laya-score,PLAIN-165,MED-4694,766.66
laya-score,PLAIN-165,MED-3447,819.7
laya-score,PLAIN-165,MED-3701,781.12
laya-score,PLAIN-165,MED-4450,833.63
laya-score,PLAIN-165,MED-4812,712.66
laya-score,PLAIN-165,MED-4223,804.5
laya-score,PLAIN-165,MED-3697,760.45
laya-score,PLAIN-175,MED-3818,858.4
laya-score,PLAIN-175,MED-3816,795.19
laya-score,PLAIN-175,MED-3822,831.74
laya-score,PLAIN-175,MED-5200,807.93
laya-score,PLAIN-175,MED-4985,803.27
laya-score,PLAIN-175,MED-3399,858.35
laya-score,PLAIN-175,MED-4347,847.84
laya-score,PLAIN-175,MED-2459,795.58
laya-score,PLAIN-175,MED-2248,781.54
laya-score,PLAIN-175,MED-2294,871.57
laya-score,PLAIN-175,MED-1378,755.23
laya-score,PLAIN-175,MED-2384,817.44
laya-score,PLAIN-175,MED-836,765.75
laya-score,PLAIN-175,MED-1714,944.37
laya-score,PLAIN-175,MED-4104,785.99
laya-score,PLAIN-175,MED-3434,803.73
laya-score,PLAIN-175,MED-3794,912.28
laya-score,PLAIN-175,MED-2943,851.38
laya-score,PLAIN-175,MED-819,809.06
laya-score,PLAIN-175,MED-4854,791.16
laya-score,PLAIN-186,MED-2054,865.78
laya-score,PLAIN-186,MED-3904,881.17
laya-score,PLAIN-186,MED-2059,752.58
laya-score,PLAIN-186,MED-2057,824.47
laya-score,PLAIN-186,MED-1016,456.44
laya-score,PLAIN-186,MED-949,831.16
laya-score,PLAIN-186,MED-2203,799.57
laya-score,PLAIN-186,MED-2060,861.0
laya-score,PLAIN-186,MED-2058,865.78
laya-score,PLAIN-186,MED-2053,830.46
laya-score,PLAIN-186,MED-4638,889.86
laya-score,PLAIN-186,MED-2292,790.58
laya-score,PLAIN-186,MED-1034,864.38
laya-score,PLAIN-186,MED-2061,835.38
laya-score,PLAIN-186,MED-1314,747.09
laya-score,PLAIN-186,MED-2055,781.76
laya-score,PLAIN-186,MED-4325,865.51
laya-score,PLAIN-186,MED-3510,807.81
laya-score,PLAIN-186,MED-977,781.43
laya-score,PLAIN-186,MED-692,814.77
laya-score,PLAIN-196,MED-3969,858.89
laya-score,PLAIN-196,MED-3964,805.99
laya-score,PLAIN-196,MED-895,833.65
laya-score,PLAIN-196,MED-3960,784.8
laya-score,PLAIN-196,MED-5059,838.91
laya-score,PLAIN-196,MED-3963,788.88
laya-score,PLAIN-196,MED-3970,795.78
laya-score,PLAIN-196,MED-5133,757.74
laya-score,PLAIN-196,MED-5134,770.84
laya-score,PLAIN-196,MED-5326,820.11
laya-score,PLAIN-196,MED-1125,806.18
laya-score,PLAIN-196,MED-1162,720.62
laya-score,PLAIN-196,MED-3766,835.32
laya-score,PLAIN-196,MED-3592,789.09
laya-score,PLAIN-196,MED-1763,795.16
laya-score,PLAIN-196,MED-5297,792.06
laya-score,PLAIN-196,MED-4602,748.36
laya-score,PLAIN-196,MED-1705,774.08
laya-score,PLAIN-196,MED-4127,804.14
laya-score,PLAIN-196,MED-862,858.33
laya-score,PLAIN-207,MED-3000,771.28
laya-score,PLAIN-207,MED-5197,929.0
laya-score,PLAIN-207,MED-4391,852.57
laya-score,PLAIN-207,MED-4482,959.17
laya-score,PLAIN-207,MED-4040,941.32
laya-score,PLAIN-207,MED-4057,883.46
laya-score,PLAIN-207,MED-3545,938.66
laya-score,PLAIN-207,MED-4053,1127.5
laya-score,PLAIN-207,MED-2168,1075.78
laya-score,PLAIN-207,MED-5207,591.55
laya-score,PLAIN-207,MED-4492,800.66
laya-score,PLAIN-207,MED-5075,923.16
laya-score,PLAIN-207,MED-4068,903.1
laya-score,PLAIN-207,MED-4799,589.29
laya-score,PLAIN-207,MED-2492,842.99
laya-score,PLAIN-207,MED-5326,829.7
laya-score,PLAIN-207,MED-4976,1075.41
laya-score,PLAIN-207,MED-4451,851.56
laya-score,PLAIN-207,MED-4972,885.48
laya-score,PLAIN-207,MED-2169,946.31
laya-score,PLAIN-217,MED-4831,787.96
laya-score,PLAIN-217,MED-1991,847.61
laya-score,PLAIN-217,MED-1874,828.99
laya-score,PLAIN-217,MED-2432,853.63
laya-score,PLAIN-217,MED-1997,842.29
laya-score,PLAIN-217,MED-4389,785.64
laya-score,PLAIN-217,MED-4515,938.18
laya-score,PLAIN-217,MED-4984,798.3
laya-score,PLAIN-217,MED-4206,836.33
laya-score,PLAIN-217,MED-4687,839.54
laya-score,PLAIN-217,MED-2812,907.66
laya-score,PLAIN-217,MED-2444,852.17
laya-score,PLAIN-217,MED-2813,954.11
laya-score,PLAIN-217,MED-1250,913.55
jev-score,PLAIN-2,MED-14,281.94
jev-score,PLAIN-2,MED-2429,198.5
jev-score,PLAIN-2,MED-10,208.93
jev-score,PLAIN-2,MED-2428,178.28
jev-score,PLAIN-2,MED-1193,215.93
jev-score,PLAIN-2,MED-2431,222.39
jev-score,PLAIN-2,MED-4827,194.25
jev-score,PLAIN-2,MED-4830,234.78
jev-score,PLAIN-2,MED-2427,242.46
jev-score,PLAIN-2,MED-4829,209.76
jev-score,PLAIN-2,MED-4650,221.92
jev-score,PLAIN-2,MED-4562,211.7
jev-score,PLAIN-2,MED-2434,202.99
jev-score,PLAIN-2,MED-2792,195.57
jev-score,PLAIN-2,MED-1555,212.09
jev-score,PLAIN-2,MED-4450,177.81
jev-score,PLAIN-2,MED-3832,217.52
jev-score,PLAIN-2,MED-3845,262.06
jev-score,PLAIN-2,MED-2439,233.79
jev-score,PLAIN-2,MED-3830,200.95
jev-score,PLAIN-12,MED-4711,255.03
jev-score,PLAIN-12,MED-2501,217.88
jev-score,PLAIN-12,MED-4698,240.63
jev-score,PLAIN-12,MED-2333,195.18
jev-score,PLAIN-12,MED-4884,216.56
jev-score,PLAIN-12,MED-5042,187.99
jev-score,PLAIN-12,MED-2136,256.68
jev-score,PLAIN-12,MED-2603,195.3
jev-score,PLAIN-12,MED-1376,193.35
jev-score,PLAIN-12,MED-2815,260.34
jev-score,PLAIN-12,MED-1923,197.42
jev-score,PLAIN-12,MED-4695,218.45
jev-score,PLAIN-12,MED-1167,202.73
jev-score,PLAIN-12,MED-1190,214.23
jev-score,PLAIN-12,MED-4643,238.38
jev-score,PLAIN-12,MED-1702,291.74
jev-score,PLAIN-12,MED-3001,179.16
jev-score,PLAIN-12,MED-2052,277.46
jev-score,PLAIN-12,MED-3678,193.75
jev-score,PLAIN-12,MED-3243,225.89
jev-score,PLAIN-23,MED-1221,204.69
jev-score,PLAIN-23,MED-2643,214.58
jev-score,PLAIN-23,MED-2658,211.65
jev-score,PLAIN-23,MED-2650,221.33
jev-score,PLAIN-23,MED-2718,220.94
jev-score,PLAIN-23,MED-4429,221.8
jev-score,PLAIN-23,MED-4451,218.94
jev-score,PLAIN-23,MED-2493,223.98
jev-score,PLAIN-23,MED-2494,205.9
jev-score,PLAIN-23,MED-2661,219.82
jev-score,PLAIN-23,MED-2652,255.52
jev-score,PLAIN-23,MED-2292,213.57
jev-score,PLAIN-23,MED-1174,233.1
jev-score,PLAIN-23,MED-4256,208.19
jev-score,PLAIN-23,MED-2644,223.24
jev-score,PLAIN-23,MED-3498,199.71
jev-score,PLAIN-23,MED-4168,189.07
jev-score,PLAIN-23,MED-3880,253.96
jev-score,PLAIN-23,MED-118,234.68
jev-score,PLAIN-23,MED-2651,214.72
jev-score,PLAIN-33,MED-2221,232.08
jev-score,PLAIN-33,MED-1344,251.02
jev-score,PLAIN-33,MED-4876,243.76
jev-score,PLAIN-33,MED-2715,231.26
jev-score,PLAIN-33,MED-4366,203.45
jev-score,PLAIN-33,MED-3635,226.62
jev-score,PLAIN-33,MED-1878,220.02
jev-score,PLAIN-33,MED-3748,218.37
jev-score,PLAIN-33,MED-5093,193.18
jev-score,PLAIN-33,MED-944,298.74
jev-score,PLAIN-33,MED-1056,233.22
jev-score,PLAIN-33,MED-748,223.96
jev-score,PLAIN-33,MED-1366,264.4
jev-score,PLAIN-33,MED-2763,253.53
jev-score,PLAIN-33,MED-1497,297.85
jev-score,PLAIN-33,MED-1994,228.36
jev-score,PLAIN-33,MED-1674,223.67
jev-score,PLAIN-33,MED-4744,166.1
jev-score,PLAIN-33,MED-900,248.32
jev-score,PLAIN-33,MED-4794,226.62
jev-score,PLAIN-44,MED-2786,202.98
jev-score,PLAIN-44,MED-2782,268.25
jev-score,PLAIN-44,MED-1942,219.91
jev-score,PLAIN-44,MED-2783,258.73
jev-score,PLAIN-44,MED-2819,277.77
jev-score,PLAIN-44,MED-1811,196.37
jev-score,PLAIN-44,MED-2821,203.5
jev-score,PLAIN-44,MED-1032,269.13
jev-score,PLAIN-44,MED-2313,206.97
jev-score,PLAIN-44,MED-2602,226.04
jev-score,PLAIN-44,MED-2791,241.64
jev-score,PLAIN-44,MED-2785,247.25
jev-score,PLAIN-44,MED-2601,211.36
jev-score,PLAIN-44,MED-2599,200.65
jev-score,PLAIN-44,MED-2801,308.31
jev-score,PLAIN-44,MED-2742,208.94
jev-score,PLAIN-44,MED-2823,213.63
jev-score,PLAIN-44,MED-2605,234.34
jev-score,PLAIN-44,MED-1948,259.95
jev-score,PLAIN-44,MED-2810,246.04
jev-score,PLAIN-56,MED-2901,206.94
jev-score,PLAIN-56,MED-2896,251.47
jev-score,PLAIN-56,MED-2900,226.53
jev-score,PLAIN-56,MED-5247,205.52
jev-score,PLAIN-56,MED-5246,240.86
jev-score,PLAIN-56,MED-4384,220.7
jev-score,PLAIN-56,MED-2894,213.88
jev-score,PLAIN-56,MED-3356,231.09
jev-score,PLAIN-56,MED-3770,236.31
jev-score,PLAIN-56,MED-1178,206.59
jev-score,PLAIN-56,MED-3786,228.61
jev-score,PLAIN-56,MED-3397,262.93
jev-score,PLAIN-56,MED-3769,301.72
jev-score,PLAIN-56,MED-2263,254.48
jev-score,PLAIN-56,MED-2418,228.49
jev-score,PLAIN-56,MED-2181,260.05
jev-score,PLAIN-56,MED-1173,255.46
jev-score,PLAIN-56,MED-3699,239.11
jev-score,PLAIN-56,MED-3092,221.0
jev-score,PLAIN-56,MED-2951,218.86
jev-score,PLAIN-68,MED-2991,266.25
jev-score,PLAIN-68,MED-5345,247.11
jev-score,PLAIN-68,MED-4800,184.38
jev-score,PLAIN-68,MED-1960,207.87
jev-score,PLAIN-68,MED-2492,412.73
jev-score,PLAIN-68,MED-3095,261.67
jev-score,PLAIN-68,MED-1138,229.31
jev-score,PLAIN-68,MED-2339,224.62
jev-score,PLAIN-68,MED-4539,350.14
jev-score,PLAIN-68,MED-4626,233.9
jev-score,PLAIN-68,MED-4429,205.87
jev-score,PLAIN-68,MED-4742,262.07
jev-score,PLAIN-68,MED-4978,250.75
jev-score,PLAIN-68,MED-4427,242.82
jev-score,PLAIN-68,MED-2736,242.91
jev-score,PLAIN-68,MED-3651,260.23
jev-score,PLAIN-68,MED-2745,214.36
jev-score,PLAIN-68,MED-2168,239.75
jev-score,PLAIN-68,MED-716,263.66
jev-score,PLAIN-68,MED-4640,251.47
jev-score,PLAIN-78,MED-4318,242.14
jev-score,PLAIN-78,MED-2219,287.2
jev-score,PLAIN-78,MED-1540,272.18
jev-score,PLAIN-78,MED-1366,240.26
jev-score,PLAIN-78,MED-4087,246.56
jev-score,PLAIN-78,MED-1817,226.34
jev-score,PLAIN-78,MED-3832,338.57
jev-score,PLAIN-78,MED-1674,331.44
jev-score,PLAIN-78,MED-2940,286.83
jev-score,PLAIN-78,MED-1488,216.76
jev-score,PLAIN-78,MED-2928,190.93
jev-score,PLAIN-78,MED-4834,223.61
jev-score,PLAIN-78,MED-1040,253.28
jev-score,PLAIN-78,MED-3585,349.49
jev-score,PLAIN-78,MED-4429,232.79
jev-score,PLAIN-78,MED-2726,225.27
jev-score,PLAIN-78,MED-4337,269.38
jev-score,PLAIN-78,MED-5110,227.7
jev-score,PLAIN-78,MED-3756,324.63
jev-score,PLAIN-78,MED-4794,237.47
jev-score,PLAIN-91,MED-3171,370.9
jev-score,PLAIN-91,MED-3515,206.31
jev-score,PLAIN-91,MED-3288,236.59
jev-score,PLAIN-91,MED-4963,244.99
jev-score,PLAIN-91,MED-2341,222.59
jev-score,PLAIN-91,MED-4818,198.22
jev-score,PLAIN-91,MED-1979,180.38
jev-score,PLAIN-91,MED-1983,233.5
jev-score,PLAIN-91,MED-2352,217.09
jev-score,PLAIN-91,MED-1610,193.71
jev-score,PLAIN-91,MED-4746,229.0
jev-score,PLAIN-91,MED-4593,207.26
jev-score,PLAIN-91,MED-3891,231.49
jev-score,PLAIN-91,MED-2340,269.48
jev-score,PLAIN-91,MED-4814,255.85
jev-score,PLAIN-91,MED-4803,201.7
jev-score,PLAIN-91,MED-2678,201.44
jev-score,PLAIN-91,MED-4357,218.25
jev-score,PLAIN-91,MED-3178,289.69
jev-score,PLAIN-91,MED-4808,215.0
jev-score,PLAIN-102,MED-3954,248.59
jev-score,PLAIN-102,MED-4247,341.09
jev-score,PLAIN-102,MED-4616,287.63
jev-score,PLAIN-102,MED-1999,247.27
jev-score,PLAIN-102,MED-3253,249.24
jev-score,PLAIN-102,MED-4160,301.79
jev-score,PLAIN-102,MED-5251,254.76
jev-score,PLAIN-102,MED-4315,214.92
jev-score,PLAIN-102,MED-1932,246.92
jev-score,PLAIN-102,MED-5141,243.24
jev-score,PLAIN-102,MED-4783,254.3
jev-score,PLAIN-102,MED-5194,223.94
jev-score,PLAIN-102,MED-1722,254.9
